p,gmres_iters_no_prec,gmres_time_no_prec,gmres_iters_with_spai,gmres_time_with_spai,spai_build_time,identity_diff_frobenius,condition_number_est
0.0,13,0.001017,5,0.000353,0.04291,2.290167,2.507969
0.2,13,0.001017,5,0.000299,0.036204,2.257041,2.360846
0.4,13,0.001017,5,0.000309,0.040406,2.12811,2.184743
0.6,13,0.001017,4,0.000273,0.046441,1.896139,2.061212
0.8,13,0.001017,4,0.000279,0.052739,1.39953,1.792888
1.0,13,0.001017,2,0.00019,0.058302,0.4719,1.262018
1.2,13,0.001017,3,0.000219,0.074585,0.463216,1.274719
1.4,13,0.001017,2,0.000206,0.092986,0.43331,1.226151
1.6,13,0.001017,2,0.000379,0.122819,0.377737,1.185639
1.8,13,0.001017,2,0.000215,0.152524,0.306765,1.167481
2.0,13,0.001017,2,0.000181,0.181007,0.073603,1.04276
