p,gmres_iters_no_prec,gmres_time_no_prec,gmres_iters_with_spai,gmres_time_with_spai,spai_build_time,identity_diff_frobenius,condition_number_est
0.0,18,0.001063,5,0.000361,0.168222,5.210347,2.58403
0.2,18,0.001063,5,0.000413,0.194547,5.129572,2.402159
0.4,18,0.001063,4,0.000355,0.27589,4.82082,2.211692
0.6,18,0.001063,4,0.00034,0.302301,4.236853,2.009249
0.8,18,0.001063,4,0.000367,0.336804,3.20086,1.943441
1.0,18,0.001063,2,0.000251,0.360718,0.99721,1.30437
1.2,18,0.001063,3,0.000334,0.600083,0.975151,1.278778
1.4,18,0.001063,3,0.000388,0.818616,0.915131,1.250802
1.6,18,0.001063,2,0.000419,1.03794,0.816728,1.207853
1.8,18,0.001063,2,0.00047,1.255964,0.626191,1.1614
2.0,18,0.001063,2,0.000409,1.462811,0.186087,1.074841
