p,gmres_iters_no_prec,gmres_time_no_prec,gmres_iters_with_spai,gmres_time_with_spai,spai_build_time,identity_diff_frobenius,condition_number_est
0.0,4000,7.3e-05,4000,3.3e-05,2.524447,40.373818,10.679593
0.2,4000,6.2e-05,4000,3.1e-05,2.763701,39.903285,7.378757
0.4,4000,8.7e-05,4000,2.9e-05,2.964082,38.746067,5.709835
0.6,4000,6.8e-05,4000,3e-05,3.147628,37.067434,4.545545
0.8,4000,6.4e-05,4000,3.8e-05,3.179309,34.57618,3.565389
1.0,4000,5.7e-05,4000,3.1e-05,3.331115,31.885384,2.608206
1.2,4000,5.6e-05,4000,4.4e-05,14.130778,31.691443,2.8282
1.4,4000,7.5e-05,4000,4.4e-05,21.818891,31.294266,2.633191
1.6,4000,6.5e-05,4000,4.9e-05,26.557323,30.760488,2.470118
1.8,4000,5.9e-05,4000,4.8e-05,30.858994,30.101517,2.329783
2.0,4000,6.2e-05,4000,4.5e-05,33.42814,29.301764,2.344004
