p,gmres_iters_no_prec,gmres_time_no_prec,gmres_iters_with_spai,gmres_time_with_spai,spai_build_time,identity_diff_frobenius,condition_number_est
0.0,30,0.008692,5,0.001182,3.871029,16.52481,2.612444
0.2,30,0.008692,5,0.001225,4.118497,16.2363,2.417207
0.4,30,0.008692,4,0.001268,4.320603,15.261017,2.257323
0.6,30,0.008692,4,0.001341,4.399275,13.411251,2.128687
0.8,30,0.008692,4,0.001407,4.536662,9.877395,1.975022
1.0,30,0.008692,2,0.000882,4.546334,3.033424,1.322471
1.2,30,0.008692,3,0.002675,20.821121,2.962015,1.29769
1.4,30,0.008692,3,0.004211,29.497013,2.776754,1.257959
1.6,30,0.008692,2,0.004539,35.386406,2.460331,1.218327
1.8,30,0.008692,2,0.005184,39.690037,1.930678,1.185513
2.0,30,0.008692,2,0.004263,43.144104,0.561585,1.102519
