p,gmres_iters_no_prec,gmres_time_no_prec,gmres_iters_with_spai,gmres_time_with_spai,spai_build_time,identity_diff_frobenius,condition_number_est
0.0,31,0.00385,5,0.000812,1.702328,12.737387,2.546936
0.2,31,0.00385,5,0.000835,1.906722,12.522542,2.350363
0.4,31,0.00385,4,0.000837,2.019124,11.797262,2.161364
0.6,31,0.00385,4,0.000891,2.138399,10.279629,2.068527
0.8,31,0.00385,4,0.000834,2.285055,7.654049,1.922594
1.0,31,0.00385,2,0.000606,2.373928,2.315159,1.322726
1.2,31,0.00385,3,0.001389,8.237184,2.263049,1.287654
1.4,31,0.00385,3,0.002094,12.139924,2.122473,1.253651
1.6,31,0.00385,2,0.002266,15.118154,1.874176,1.213612
1.8,31,0.00385,2,0.002624,17.502579,1.468008,1.182441
2.0,31,0.00385,2,0.00238,19.712865,0.42907,1.097279
