p,gmres_iters_no_prec,gmres_time_no_prec,gmres_iters_with_spai,gmres_time_with_spai,spai_build_time,identity_diff_frobenius,condition_number_est
0.0,26,0.002529,5,0.000644,0.987589,10.304215,2.541214
0.2,26,0.002529,5,0.00064,1.165888,10.135255,2.352597
0.4,26,0.002529,4,0.000761,1.261552,9.531112,2.1841
0.6,26,0.002529,4,0.000689,1.363477,8.362744,2.033352
0.8,26,0.002529,4,0.000695,1.463109,6.210445,1.92999
1.0,26,0.002529,2,0.000465,1.559772,1.879022,1.300505
1.2,26,0.002529,3,0.000947,4.2376,1.83554,1.281386
1.4,26,0.002529,3,0.00147,6.19687,1.724533,1.247887
1.6,26,0.002529,2,0.001473,7.79496,1.531134,1.212239
1.8,26,0.002529,2,0.001731,9.137401,1.199119,1.178673
2.0,26,0.002529,2,0.001547,10.827018,0.345664,1.090509
