p,gmres_iters_no_prec,gmres_time_no_prec,gmres_iters_with_spai,gmres_time_with_spai,spai_build_time,identity_diff_frobenius,condition_number_est
0.0,10,5e-05,10,2.4e-05,0.003965,2.233627,37.831396
0.2,10,3.6e-05,10,3.6e-05,0.00395,2.193565,83.551393
0.4,10,4.2e-05,10,2.4e-05,0.004426,2.07867,17.880124
0.6,10,3.9e-05,10,2.6e-05,0.004787,1.919744,15.105743
0.8,10,4.1e-05,10,2.6e-05,0.005778,1.720808,180.954683
1.0,10,4e-05,10,2.5e-05,0.005389,1.604741,152.732312
1.2,10,5.2e-05,10,2.3e-05,0.007366,1.604741,719.374443
1.4,10,3.7e-05,10,2.4e-05,0.00603,1.604741,32.772064
1.6,10,4e-05,10,2.3e-05,0.006237,1.510156,45.514645
1.8,10,4.4e-05,10,2.4e-05,0.007111,1.289629,69.245674
2.0,10,3.6e-05,10,2.3e-05,0.007863,0.745159,2.316715
