,p,condition number,identity diference
0,0.0,227521.2654435999,55.44616281578255
1,0.1,225928.88014962856,55.31436450329207
2,0.2,223412.05977662417,55.02685055905803
3,0.3,477364.3842043263,54.74914635101187
4,0.4,438562.699157856,54.746585161272655
5,0.5,593754.643832409,55.24423666183578
6,0.6,2725714.9474255424,57.59532972970717
7,0.7,335997795.2338459,174.10722768550914
8,0.8,317877703.68696934,260.53472967433737
9,0.9,95179393.42645496,264.8500676782943
10,1.0,90020315.83193721,266.1103486402522
11,1.1,226613.0263698373,55.01268226408689
12,1.2,348967.14205418585,54.14474185342412
13,1.3,419696.40449278645,53.46721634281736
14,1.4,496546.0899441394,52.86143556611058
15,1.5,686586.2926216725,52.60616259356634
16,1.6,1542747.1336742083,52.87409473117964
17,1.7,1003846505.292747,54.50458350064777
18,1.8,369788550.20576197,59.611403661576986
19,1.9,137653554.11276495,107.06747630323521
20,2.0,90020315.83193721,266.1103486402522
