,p,condition number,identity diference
0,0.0,14315.94564291304,15.043424572439351
1,0.1,14248.114517469288,15.005540852863355
2,0.2,14362.812318665634,14.921870255030095
3,0.3,13709.412246063079,14.83938738268948
4,0.4,23460.2458672088,14.81854509889654
5,0.5,22440.00139845165,14.89678511521612
6,0.6,25051.0308429249,15.496188756610614
7,0.7,261425.12762687905,18.451909932870546
8,0.8,101353.12629031183,20.889405705830864
9,0.9,1969540.108287431,26.075854021675607
10,1.0,185719.7174745885,26.887708769364266
11,1.1,14105.833602815681,14.980101812569782
12,1.2,13633.930876884093,14.773838527572526
13,1.3,21614.844177782314,14.541081826617903
14,1.4,20352.688704228276,14.364839401218859
15,1.5,19206.328483494133,14.216285241286073
16,1.6,30363.915364294848,14.662627794175506
17,1.7,29729.04037741673,15.298206515048216
18,1.8,49380.797975907546,16.29548513995946
19,1.9,52485.55490866614,18.04419878858445
20,2.0,185719.7174745885,26.887708769364266
