,p,condition number,identity diference
0,0.0,7177.440019922096,24.545862332594773
1,0.1,7098.373205749906,24.492608707709714
2,0.2,6795.493154930535,24.365797576666463
3,0.3,13276.781554163317,24.20048467109749
4,0.4,10055.3000326029,24.11269961793948
5,0.5,15712.078180724207,24.462190510500157
6,0.6,39415.10994156225,25.4875115940379
7,0.7,199552.25210035252,27.67964250783524
8,0.8,177668.19517130937,32.40283764234556
9,0.9,167024.71138303337,34.37079898283261
10,1.0,206216.03032670706,36.03481687953419
11,1.1,6409.743444352854,24.356016753754517
12,1.2,6797.02167474935,23.912820530268228
13,1.3,23293.792798696864,23.51431515618411
14,1.4,10263.892048510723,23.275484727415694
15,1.5,9027.118446532175,23.167717527787556
16,1.6,33682.24437302825,23.23742506601345
17,1.7,32383.833219525895,23.996196060833427
18,1.8,229338.73890912274,25.541129141641786
19,1.9,87300.78386294736,28.012391054549173
20,2.0,206216.03032670706,36.03481687953419
