,p,condition number,identity diference
0,0.0,1147.2576085857504,14.134528497059408
1,0.1,1838.9932186882033,17.184497052641923
2,0.2,2425.1189041291764,23.444127390815847
3,0.3,3168.401114956477,28.828631061621614
4,0.4,4160.48703662019,34.60644379475267
5,0.5,8540.327650701767,40.21687716529601
6,0.6,7892.788730219485,46.0980678242427
7,0.7,6302.816173097063,52.92994618217444
8,0.8,6794.442435740654,62.26564265344671
9,0.9,6718.219663121644,73.66725488291696
10,1.0,2896.209315284018,102.36055372250361
