,p,condition number,identity diference
0,0.0,1594.7425139294348,3.5787209093515773
1,0.1,684.1444054009012,2.61621407998434
2,0.2,1007.2549078195536,4.2173361112385255
3,0.3,2247.76814042603,6.363718221446044
4,0.4,2339.638809413675,8.529157826503436
5,0.5,2893.919392427865,9.919079440257361
6,0.6,3727.9494298224686,11.643158123915303
7,0.7,5221.834686367208,13.876055931509104
8,0.8,4051.97264493343,15.705273894973091
9,0.9,3770.83497063759,17.828338841772837
10,1.0,1471.9416186527335,20.311243575163516
