,p,condition number,identity diference
0,0.0,501814.1520832025,47.613285156255394
1,0.1,496270.708337193,47.5038183233929
2,0.2,481421.91633709293,47.25107916386086
3,0.3,998623.1710072341,46.9891084927615
4,0.4,1124854.3744555893,47.03452444683112
5,0.5,1228329.0390647817,47.239583355896066
6,0.6,21639106.911488254,49.46242623807622
7,0.7,18965927.778418206,53.05245685403514
8,0.8,201528784.0247299,74.01622396707133
9,0.9,64908229.33376661,92.49301541700169
10,1.0,34222293.92091883,95.60800938785432
11,1.1,783585.4059189421,47.2445315883168
12,1.2,814229.8064818346,46.58651625904803
13,1.3,851518.1879346932,45.89073946283396
14,1.4,1243894.2440001736,45.39665302093443
15,1.5,1108538.8325629367,45.241646297644444
16,1.6,2461151.0958053223,45.60427695849263
17,1.7,5744270.333416736,46.78129702526385
18,1.8,41555289.80384629,49.86718037241188
19,1.9,751538468.9296967,67.93245536057688
20,2.0,34222293.92091883,95.60800938785432
