,p,condition number,identity diference
0,0.0,36456.10274020534,19.59131556650963
1,0.1,36532.99128494096,19.54666046926094
2,0.2,35316.184600930115,19.449566123610893
3,0.3,47752.152771985806,19.389778883704643
4,0.4,84577.67597351226,19.376222456800132
5,0.5,72159.71353849386,19.364914710399198
6,0.6,80808.06735158717,20.088332935616698
7,0.7,490486.15453628247,22.06816491470691
8,0.8,1002217.1119761544,27.520288219519216
9,0.9,9037644.082235444,112.43328943616643
10,1.0,1135916.2827491015,112.80056571905114
11,1.1,36577.08957711733,19.459151956244764
12,1.2,35166.27613803456,19.089814457455656
13,1.3,48807.73563878913,18.81693761641159
14,1.4,60303.44846779707,18.572319219812652
15,1.5,62291.7294948101,18.450532924504863
16,1.6,112859.70710605169,18.721352228426273
17,1.7,115479.94069954412,19.21061709604983
18,1.8,217450.15369283318,20.690198266689322
19,1.9,1824338.8123045343,22.79371915809767
20,2.0,1135916.2827491015,112.80056571905114
