,p,condition number,identity diference
0,0.0,488555.2937782016,38.96634501480543
1,0.1,483913.7923169882,38.87925597465997
2,0.2,466575.2985710113,38.67824569147334
3,0.3,749399.6083417401,38.430750828244335
4,0.4,841134.3210893975,38.35442283419101
5,0.5,1293731.4542848903,38.61035959711427
6,0.6,11617951.70986665,40.444098415430965
7,0.7,24687729.23449028,43.3906276261089
8,0.8,16965217.929387588,51.51445347546647
9,0.9,80397788.27614348,56.695679169493545
10,1.0,3907581.6115430505,59.57030375986999
11,1.1,730919.3200888236,38.71912457482256
12,1.2,848959.2294901902,38.16501118090558
13,1.3,810439.8082133412,37.5582034057352
14,1.4,1368146.4450330755,37.21309753644844
15,1.5,1301261.2240906958,36.92602827391631
16,1.6,1505374.6192467487,37.071950857282445
17,1.7,4191706.4275225424,37.91474178871973
18,1.8,6885929.406650944,40.2283881790545
19,1.9,8760632.991806442,45.04736559320642
20,2.0,3907581.6115430505,59.57030375986999
