,p,condition number,identity diference
0,0.0,93920.58179554329,61.7906225773663
1,0.1,92852.35498272878,61.64712002690758
2,0.2,89944.4280610083,61.32009128982455
3,0.3,203089.43998509645,60.96287747393386
4,0.4,188175.4372747174,60.88500283641162
5,0.5,540280.4578770341,61.55321763326003
6,0.6,5264294.384269313,65.49748333474264
7,0.7,66299832.49611153,70.80456090346846
8,0.8,163853212.44820422,268.9343185172936
9,0.9,55248400.69672871,273.4175868689042
10,1.0,63128941.25122725,283.6987026328082
11,1.1,92779.59520303781,61.22467551789924
12,1.2,171467.11015316535,60.34827291197622
13,1.3,208248.84250449383,59.53621177782034
14,1.4,276402.77655424754,58.87855961897211
15,1.5,202590.99928144162,58.589198324535865
16,1.6,554191.8589926207,59.05610420779845
17,1.7,2925132.254067733,60.705965028304995
18,1.8,83190831.65434523,64.52464977404316
19,1.9,46996459.296950825,71.12939016743378
20,2.0,63128941.25122725,283.6987026328082
